steaming_data,sentiment_score,sentiment
new year new problem utbk,-0.4019,Negatif
ya allah jg tpi yg ingetin h utbk fakkk lahhh nafas dluu broooowwwww,0.0,Netral
deveenastudy gapapaaaa lolos utbk hadiah aamiin,0.0,Netral
hyemhyemuw semangat kejar utbk ptnln nya kak,0.0,Netral
selamat selamat h utbk,0.0,Netral
masuk undip jalur snbt skor utbk skor skd intern hima biro jurnalistik proker organisasi daerah,0.0,Netral
udah ajar utbk stress,-0.4215,Negatif
guys nickname bio,0.0,Netral
yuhuu jiwa fomoku gejolak,0.0,Netral
usaha ajar utbk,0.0,Netral
ultraviolete amin cuman lolos utbk aja,0.0,Netral
lagzark woi kgn bgt su selamat,0.0,Netral
happy new year selamat deg deg an snbp utbk,0.5719,Positif
moga alifa lulus utbk yaa allah aamiin yaa rabbal alamiin,0.0,Netral
kasephmon lolos utbk pilih,0.0,Netral
pusing mikirin utbk pusing mikirin template jj ptn,0.25,Positif
myusiala selamat tahunbaru jaket,0.0,Netral
stariestta lessgooo ayo labrak utbk ituu rest well acell kerenn,0.2732,Positif
convomfs ak jga jir nang utbk nyari kuliah,0.0,Netral
lyoxart ngga pntk,0.0,Netral
yxungbyy panggil nih kiw,0.0,Netral
yuhuu ihh seru tauuuuu,0.0,Netral
satorulokal yaallah ken bgt sabar luas samudera alam semesta setebal kamus kbbi dalam palung mariana,0.0,Netral
happy new year yall moga tahun yaa sehat keliling sm orangorang jugaa semogaaa lulus utbk,0.5719,Positif
h utbk,0.0,Netral
maba,0.0,Netral
lulus,0.0,Netral
happy new year moga taun lolos utbk jurus kampus yg keluarga kompak moga sehat fisik mental,0.5719,Positif
keydeejmss aja countdown utbk nya,0.0,Netral
shizukananeko selamat neko,0.0,Netral
haimastapir ih astaha,0.0,Netral
ya allah ku taun lancar rezeki mudah segala urus lolos utbk tekdus undip jalur snbt skor aamiin,0.0,Netral
big thanks untuk thx sdh ajar yg utbk dh yh aje,0.6597,Positif
foto gak penuh fomo,0.0,Netral
utbk hidup kampus tunggu,0.0,Netral
happy new year everybody moga terima pil skor utbk moga masuk gizi ub dapet tmn kuliah kost an yg aaaminn moga temen temen ku terima univ impi aminnn lets make it vicaaa,0.5719,Positif
gd hepi nya yg deg an mampus utbk sampe ngeblank td bayangin nya pdhl tu petas berisik nya,0.0,Netral
inget bgttt gimana nang liat temen ku uda wisuda aku nang liat buku latsol utbk hrhehe,0.0,Netral
udah januari yg utbk,0.0,Netral
eh tp seru kali ya panitia buat utbk,0.0,Netral
slmt smgt utbk hopefully masuk ptn,0.4019,Positif
slmt tuk edel smga cepet sdar ya bwat nyicil bljr utbk,0.0,Netral
ya allah taun hantu utbk,0.0,Netral
guys tolong kalo snbt tuh ntar pil pil nya salah hrus ptn dom prov dua tolong banget guys snbt snbp utbk,0.0,Netral
emg rezeki snbp moga pas ngerjain utbk mudah moga kuasain materi ya allah,0.0,Netral
saudarasaudara seru wkwkwkwk minggu uts pertama itb dipikirpikir ngerasa panik kaya utbk persepsi masyarakat sih bilang kalo uji itb susah,0.0,Netral
long story short finally utbk nunggu umum latih mandiri and then officially terima institut baik bangsa,0.0,Netral
knaracakes lolos utbk pil maba,0.0,Netral
udh wktunya fokus wat utbk,0.0,Netral
tanda yap utbk deket,0.0,Netral
manifesting sawah cepet laku moga ibu sehat umur lolos utbk fk ugm dapet beasiswa unggul rezeki lancar bahagia sehat jasmani rohani baik,0.0,Netral
sumpah gw akun usn alias gw jual akun duit gw pake les online utbk aowkwok tobat pas udh kuliah krn capek cuy,0.0,Netral
moga masuk ptn unpad psikologi jalur undangantes utbk ya allah aamiin aamiin,0.0,Netral
selamat taun oll semangat utbk,0.0,Netral
utbk h kajja,0.0,Netral
udah rasa yah bentar utbk,0.0,Netral
ya allah pls jahatya gw mo utbk,0.0772,Positif
happy new year moga yaa,0.5719,Positif
taun aja udah utbk nder udah ktp,0.0,Netral
diinget inget full stress mikir utbk,-0.4215,Negatif
sbmptnfess ga terima utbk,0.0,Netral
bgt pinternya pls kyk km cium bau bau lolos utbk sih orang terkereen,0.0772,Positif
dah bikin recording bikin apresiasi keinget taun bikin dengerin kek deg segitunya yah sakit makasihhh mely dah sampe titik beneran ga nyangka sih yg tahun bikin rec abis tolak utbk wkwk,0.0,Netral
slamat mnuggu utbk,0.0,Netral
utbkcak paham materi pkpm subtes utbk,0.0,Netral
hohoho utbk,0.0,Netral
rasa oh gin tolak ptn karna tolak jd ajar materi utbk lolos snbp gak paham nikmat ajar pk pm kawan snbt tuhan balas jga dgn lulus usu,0.0,Netral
cepet bgt yah krn tengah gw stress utbk akhir gw stress kuliah,-0.6808,Negatif
bulolgeto utbk pas dlu pil unpad lulus,0.0,Netral
stetoskopink utbk b nya bokep wdym,0.0,Netral
ya allah makasih ya allah terima snbt utbk ugm prodi sasindo biayain kuliah shopee affiliate kipk ya allah terima kasih ya allah,0.0,Netral
bentar lg ganti yg brarti utbk lg cepet yaak,0.0,Netral
peachhkook nungguin skor to utbk,0.0,Netral
flowryong deket utbk hshshsh ak jdi takut krna isi,0.0,Netral
gausa nanya anak baru ajar utbk trsnyum pahit,0.0,Netral
new year new problem utbk dll,-0.4019,Negatif
sbmptnfess sorry oot to sainsln gimana maksud to nya worth utbk i think mudah banding platform pikir,0.1531,Positif
pielullabyy to utbk kalo ga salahh,0.0,Netral
yaallah takut bgt sm utbk,0.0,Netral
jenastudyarea sbmptnfess haloo alhamdulillah masuk jalur mandiri pakai skor utbk,0.0,Netral
tanyarlfes lolos utbk,0.0,Netral
temen temen paket ruangguru offline online banget ya feel free konsultasi ambil offline lupa inden ya full bimbeloffline bimbelonline lesonline utbk snbp snbt zonauang ambis olim rg cere mipy zen,0.3182,Positif
sbmptnfess gakk plis km bisaa dlu to ganyentuh plis tp lolos utbk km bisaa smngt yuk,0.0,Netral
jidyapage sbmptnfess to mipy sesat ga utbk percaya pada utbk,0.0,Netral
paket ruangguru ruang ajar paket brain academy onlineoffline bundle try out english academy feel free konsultasi langsung dm aja ya kak diskonruangguru snbt snbp bimbeloffline bimbelonline zonauang brainacademy utbk cere mipy,0.5106,Positif
emang takdir kuliah ugm utbk pmm ga pmm ugm setidakmya jalan jalan ugm hihi dengar sederhana jogja its big things to me,0.0,Netral
pmm mutusin utbk juang ugm imut surprisingly tolak tinggal deh tinggal but langsung refleksi evaluasi peluang langsung ambil,0.1531,Positif
paket ruangguru ruang ajar paket brain academy onlineoffline bundle try out english academy feel free konsultasi langsung dm aja ya kak diskonruangguru snbt snbp bimbeloffline bimbelonline zonauang brainacademy utbk cere mipy,0.5106,Positif
yg diinget bgt taun momen perjuanganeak kek rasa bgt jatuh bangun nya taun pas smgt bgt ngejar ziyadah kayak capekk bgt sampe haka abis utbk brg ghina muna ngafal pas minggu sana,0.0,Netral
dragonnnfruittt jcenle sbmptnfess ga dipikirin kak krn ga utbk kak,0.0,Netral
jcenle sbmptnfess ngapain ajar begitu ga utbk utbk,0.0,Netral
boys planet makasih nemenin masamasa hectic utbk berkat ambil self reward kamis,0.5719,Positif
sbmptnfess ga utbk utbk ga spt,0.0,Netral
gua taun ajar utbk awas aja ga lolos,0.0,Netral
ken ngerecap sih taun plkj fokus ajar kelas reuni study tour utbk gila libur panjangg sampe jamur abis duit ospek osjurr mabok laprak praktikum stress uts uas sampe beres semester kalo diinget capek jg yh taun,-0.4215,Negatif
feelings kali ngerasain degdegan cemas ngadepin realita utbk nya sii,0.0,Netral
kochengfs dek bonu bnyk ngeliat nang jaman ak blajar utbk kek ak blajar planga plongo samping ueueueu mksih sdh mnemani berat dek bonuuu,0.0,Netral
moga ako lolos utbk aminnn,0.0,Netral
bismillah besok ajar utbk aamiin doain,0.0,Netral
happy finally owy udah pelan pelan nerima damai utbk things ga kelar kelar nangisinnya,0.5719,Positif
jgn pas utbk aja sih,0.0,Netral
yaelahgyu selesai utbk baca lg kah,0.0,Netral
akusayangallofu mjb kak tau skor utbk kaka brp ya,0.0,Netral
hai cowokcowokkuuuu tahun bilang off fangirlingan lagu nemenin akuu yeonjun cowok even udah ga ngikutin hectic utbk makasihh udah hidup udah juang,0.0,Netral
for author au yg keren keren bgt yg udh nemenin sedih stress gila ku abis utbk kmrn ily guys so much klo gada kyknya bnrn kacau bgt udh masuk rsj dah kyknya i wish u guys all happiness in this world semogaa karya karya yg lahir,0.836,Positif
tllstprson bro utbk,0.0,Netral
resolusi rajin ajar utbk,0.0,Netral
fmelonr yuk utbk,0.0,Netral
miamikzr ga,0.0,Netral
neptuneusez sbmptnfess kak kalo terima depan coba utbk dinas gitu gak maaf ya,0.0,Netral
taertekan kangen utbk,0.0,Netral
wts buku utbk by ganesha operation preloved help rt yaa,0.4019,Positif
sbmptnfess percaya ngk kalo tuh score terbang pas utbk beneran,0.0,Netral
april ga gimana gimana banget foto angkat for the last time mei streesss banget utbk coy kenal seventeen juni wkwkwk inimah umum full of sadness ajar iklhas sedih pikir,-0.4404,Negatif
klo ak mereview ulang kekny ketawa mulu pulang umroh sma sibuk uji uprak usek sekolah banget siap msk kuliah snbp tolak krn idealis kt mama latih utbk erat sm yg nama bss skrg,0.0,Netral
gue lulus utbk pilih fakultas dokter aamiin omong doa,-0.5106,Negatif
satu alesan gamau ninggalin ya krn tau bkl hectic anjinggg gasiap bangsattt aduhh pagelarann aduhh snbp aduh utbk,0.0,Netral
resolusi baca buku bulan banyakin sketching lolos utbk,0.0,Netral
gue bikin amp gue sadar ky hah gue cm gin doang poin utbk um main main dikit doang selain ga yg istimewa thats why gue bikin yg,0.0,Netral
hbrp minggu to dptnya an krn dah males bgt ajar tp pas utbk tembus an tuh gabanyak sih,0.0,Netral
tanyarl guys doain kabul moga yg lg juang utk utbk lulus snbt ptn yg,0.0,Netral
bacot iri anjeng,0.0,Netral
ddalkitten kalo tau skor utbk kemarin kak,0.0,Netral
bakar bakar ga nihh,0.0,Netral
avrizazenianur kak masuk unair jalur kalo snbp ratarata rapotnya kalo tau kalo utbk tips gitu gaa belajarnyaa masuk fkg unair bingung bgt ajar utbknya kalo snbp ga gitu,0.0,Netral
sbmptnfess saran sih wangsit aja ya udah jelang utbk gin lbh seringsering latsol kecuali kelas amp ajar utbk paham materi amp latsol,0.0,Netral
tu taun yg rasa cpt banget krna utbk konyol,0.0,Netral
convomf lolos utbk,0.0,Netral
naevits gua tuh ga sanggup sm utbk susah aja dah kaya,0.0,Netral
saezhhao bener bang biar berkah utbk gweh,0.0,Netral
in another universe mark lee mas mas twitter bikin kursus writing ngajarin literasi bing anak anak yg nyiapin utbk,0.0,Netral
yupiamira schfess ak seng ngelompat lompat rasane wes utbk,0.0,Netral
eh laufey indo knp pas gue utbk sih gue nonton,0.0,Netral
jun udh bs napas bntr lepas utbk tp bete mmps krn pk pm sial yah i got meimeis color again jul kejar simak tp niat gk niat my toxic traits pikir gw lolosny jalur snbt jd bingung coy mandiri hrs gmn plan gw dh rusak jd udh kl gap,0.0,Netral
jan hepi freely y msh main sm tmn lov jan feb excited tp gk even jd the most boring ultah ever mar udh kencengin tryout bljr bljr bljr smpe tipes apr gk bda bgadang bljr pkknya gws sehat mei the most thrilling month krna the war abt to endutbk,0.296,Positif
convomf nder rumah aja kutat dgn utbk,0.0,Netral
recap jan stress utbk feb stress utbk amp uprak mar stress utbk apr stress utbk may stress h utbk june neng lolos ui july stress ospek aug stress ospek sep stress ospek oct stress kuliah nov stress kuliah oct stress kuliah,-0.9814,Negatif
redstarlinee bundar hi ga temen,0.0,Netral
bener suka males ngajarin orang pake rumus karna utbk nya cepet bgt keburu puyeng,0.0,Netral
gempa,0.0,Netral
lg ajar utbk yaallahhhhh gempaa kenceng bgttt allahuakbarrr,0.0,Netral
ni ngl napa susah susah dah kek utbk aja,0.0,Netral
ngeliat hasil to utbk tl sekaraangg nostalgic bgttt,0.0,Netral
edternel ajar utbk brapa jam hari,0.0,Netral
lebi susah dr utbk gw,0.0,Netral
seungsjy alip makasih udahhh temenan yaaaaaahhhh makasih udah dengar baikampampberbagi bahagia orang please be happyyyyyyyyyy selaluuuuuu moga lancar urus kedepannyaaaa moga lancar utbk nyaaaaa,0.3182,Positif
qkfrazakio jam yaa,0.0,Netral
i think quite happy ky anjay keren aja wkwkwkk trs bilang tunda ajar utbk lol trs live in the moment sma kls seru abiz,0.7778,Positif
panik dikit april udh utbk,0.0,Netral
venchaniie makasiii vennn semangatt ajar utbk moga lancarrr,0.0,Netral
hanifangelion a lulus sma an skor utbk eh udh kalah ama masuk itb ui aing unair,0.0,Netral
kalo diinget best day of ya pas libur bkn pas lulus utbk bejir,0.6369,Positif
kadang iri temen temen beli buku utbk tipe ajar buku hp laptop gampang lelah mata gapapa pinjem kakel adik gap year sedih deh,0.0,Netral
itsodranoel ga sono,0.0,Netral
nyesel gagal snbt tanggal besok benahin materi paham latih materi paham tips galau ajar utbk planga plongo,0.0,Netral
ni akun utbk printilannya skrg ko jd akun utk luap emosi bentuk energi negatif benci orang cursing kali liat orang goblok projecting orang,0.0,Netral
krna ultahku nnti pas utbk dilancarin utbknyadilolosin jg lolosutbk,0.0,Netral
gwe mending utbk lgi drpd main gim gkjls,0.0,Netral
tanyakanrl utbk nder wangsit paltinum bagus bgt turut materi bgt tpa tps aja tambah literasi bahasa inggris indo nalar matematika imo better sanding bimbel c,0.4404,Positif
serius bgt utbk bln,0.0,Netral
masuk brawijaya jalur utbk pokok aminn,0.0,Netral
sbmptnfess nder pas h minggu utbk alhamdulillah skor ku bilang bagus lolos semangat ya nderrr,0.0,Netral
resolusi utbk mabok latsol to dapet pkpm udh ez bgt,0.3612,Positif
belajae utbk wlw sakit panas,0.0,Netral
collegemenfess maba yg pasti sblm utbk snm gembor gembor ajar,0.0,Netral
sbmptnfess gua jg gt nder pdhl bljr semester kelas alhamdulillah pas utbk hasil hasil to gua to ampe puluh kali hasil bawah ga terima pilih yg gua atleast pas utbk gua beneran bagus,0.2732,Positif
gue bikin thread utbk gajadi,0.0,Netral
marimasjambuu bom,0.0,Netral
takut utbk,0.0,Netral
wangsitomjero starrstudy wangsit sih min buku materi utbk warna merah wangsit om jero pecahpecah pu pm,-0.2732,Negatif
qkfrazakio maaf mimin salah setting udah mimin baik ya,0.0,Netral
chizurv maaf mimin salah setting udah mimin baik ya,0.0,Netral
ada yg saran kek bljr utbk masuk sekolah lg,0.0,Netral
logophilemaw maaf mimin salah setting udah mimin baik yaa,0.0,Netral
sbmptnfess utbk ku kmarin gaada nder tp masuk subtes pk,0.0,Netral
klo taun kmarin gk tbtb pikir kuliah klo abis tolak snbp gk tbtb nekat utbk gak siap apaapa ak gk jd ak yg aja sih beda malesan,0.0,Netral
milikkuptn eh maksud kuota ya kokk langsung klik upgrade premium aja,0.0,Netral
keyziaunpad feurathala ehh jam,0.0,Netral
sbmptnfess iyaaa isi materi utbk tp materi sekolahmya,0.0,Netral
tanyarlfes krn ultahku sblm utbk ak mw ketrima uner,0.0,Netral
nfjuara plis tuntun gua lolos snbt plis skor utbk,0.0,Netral
convomf nder dpn aja udh utbk aplgi nyoblos,0.0,Netral
captcovps kayak ngadepin yg trjadi salah satu utbk,0.0,Netral
sbmptnfess nder coba kalo km susah pbm cek ig nya bang fauzanalrasyid karna utbk ajar materi pbm situ hjam baca sorot ignya beliau wkwkwkw,0.0,Netral
litieum ayoooo haruss push ajar utbk semangatt moga lolos pilih kitaa,0.0,Netral
sobat go jelang utbk pakek baju tidur literally tbtb muncul rumah,0.0,Netral
lordvareln thankyou kenang ajar ambil tambah lengkap moga taun masuk ptn jurus mimpi mudah lolos snbp utbk amin,0.0,Netral
aduh pacu ken utbk lagitapi,0.0,Netral
kakschery kaaa kerenn bgttt anyway tau skor utbk kakak ngga yaa,0.0,Netral
tanyarlfes ga lulus utbk,0.0,Netral
mamak kmu bleh utbk lgi tpi hrus dokter klo lolos umi dukung me ak farmasi aj ngosan aplgi fk,0.0,Netral
hellow juang ptn format utbk udah beda tambah isi kirakira to udah update terimakasih,0.0,Netral
riizefess lucu bgt kek baca utbk dlu tp klo yg ak smgt,0.0,Netral
sbmptnfess rill deh utbk pm tuh lebib make nalarrr bgtt gabisa kalo make rumuss,0.0,Netral
yaallah manifesting bgt utbk gw ky giniiii,0.0,Netral
pikir utbk kontol,0.0,Netral
mei tanggal gue utbk ui benerbener masyaallah banget juang kesana makasih dinda latifah udah nemenin gue utbk sana nungguin gue ampe kelar jam gue dalem ruang utbk,0.0,Netral
angkat yuk pilih mipi teman ajar utbk beli web studytwt ambistwt ambisverse studyacc mipy mipi mify snbt bimbel online snbt kode refferal diskon,0.0,Netral
lolos utbk pil lancar kuliah,0.0,Netral
tenang aja utbk besok engga woy enggaaa ga santai besok udah bangun,0.0,Netral
optimis smbil bljr utbk,0.0,Netral
convomf bentar utbk ni nder,0.0,Netral
tidurr ajaa gak utbk,0.0,Netral
cownchickencat ken skip semester ajah biar all in utbk,0.0,Netral
jnocloud bolehh kenang mantan,0.0,Netral
jnocloud jagung sosis daging,0.0,Netral
flowryong tidaaakkkkk ganti deket jadwal utbk,0.0,Netral
utbk,0.0,Netral
leostudiess yakannn,0.0,Netral
isi dongg bosen,0.0,Netral
lolos utbk kerja full time kuliah dapet ip emang hidup morat marit keren yg apresiasi,0.0,Netral
malam ngapain ya ajar utbk,0.0,Netral
abis lansung ngebut latsol utbk,0.0,Netral
tonton reels instagram humasusakti like usaktiofficial top view reels dresscode pkkmb universitas trisakti check ingat tragedi trisakti konten nilai utbk top like post top laws school,0.8126,Positif
gyouviewn serius tingkatin nilai ampamp tentuin minat cari cari utbk nambah nambah tahu ayoo semangat,0.0,Netral
gue bosen bngttt,0.0,Netral
sbmptnfess nggak papa nder kek gitu kemarin pas to utbk turun banget sempat giat lagiii semangat nderrr,0.0,Netral
ditanyain thor s nya jawab nggak taus aja belumutbk ya,0.0,Netral
fallinjakey ngga lahh usaha tauuu paruh untung umur hidup lolos snbt utbk ajar,0.0,Netral
buku wangsit om jero isi utbk asli prediksi,0.0,Netral
wangsit om jero pilih materi sesuai frame work utbk capecape nyelesein tau gak sesuai website,0.0,Netral
guysss link shopee freebies kasih kali yaa jam wib jam wib plss semogaa kebagiann bcs mauu bagi bagi sm smua temen temen chilzen sfs yg unity yg enggaa jg terakhirr bcs rest fokus ajar utbk,0.4215,Positif
e pake jelas cepet aja utbk mikirnya,0.0,Netral
yuhuu malam santai sebentar uas bantai,0.0,Netral
gua utbk bejir,0.0,Netral
i would say april mana masamasanya gw tantrum garagara snbp hahahahahahaha but gw gw nikmat proses gw ajar utbk sampe ketemu tementemen tambah sibuk manggung hibur seru banget jujur,-0.2263,Negatif
gyouviewn analisis prodi yg sesuai minat bakat trs usahain nilai sampe turun ajar utbk dikitdikit saran yg bnran ovt snbp snbt,0.0,Netral
guyur siap utbk snbp milih ptn,0.0,Netral
sch nyari temen ajar utbk bareng bener bener juang nol ya just reply if you interested,0.4019,Positif
zerosebeen kmrn pas utbk pu ga susah pm pm sih beneran ngang ngong klo ya,-0.2732,Negatif
yuhuu besok uas xixixi,0.0,Netral
sch info study group utbk aplikasi flip,0.0,Netral
sch yg partner ajar utbk bareng ga progress image,0.4215,Positif
gadeng canda i love you utbk kasih nilai yaa,0.6369,Positif
bakar utbk gak,0.0,Netral
ellesyrfaa abis ultah sambut utbk,0.0,Netral
sch semangat utbk moga lolos ptn jurus yaa salam maba angkat,0.0,Netral
mzmznxnbxcmann cut aja gpp,-0.2732,Negatif
urlastbabyy diemin aja,0.0,Netral
haloo besok ajar materi latsol utbk kirakira awal nya ajar ya mana yaaaa makasih,0.0,Netral
bundar hi kerja,0.0,Netral
potret agit yg ambis utbk yg oren lg nunggu tamat bgt hmss,0.0,Netral
they hate us just bc orang ambis sayang ripaajp pakar rasionalisasi utbk faktor tembus ptn impi,-0.5719,Negatif
sbmptnfess ga tolol nder to emang susah utbk nya pas doang dapet an nya dapet alhamdulillah lolos gapapa to ajaa lupa doa yaa,-0.5106,Negatif
ngambis ajar utbk temen kelas tau gk si diem aja,0.0,Netral
leostudiess ajar utbk,0.0,Netral
hai gais barusan muncul abis ambis utbk priv persen nyata,0.0,Netral
sbmptnfess ndeer yuk semangat mari bantai materi utbk nya,0.0,Netral
sistem informasi ui tolong terima pls jalur utbk dgn skor pls aamiin aamiin aamiin,0.1531,Positif
cutiedpie bayar to utbk pahamify mksd ka ress,0.0,Netral
nooooo gituuuuu km tau skor to kimia ak h utbk,0.0,Netral
wish my adek and all my cousins this gw derita utbk disease tahun,0.4019,Positif
blueanaz kmu tinggal ya masak,0.0,Netral
pict part seruww first time lutim pict panitia dema omaigattt im so happy jd team work kaka keren pict amp h utbk nge voolunter after snbt,0.6948,Positif
gamau masuk tgl masuk sih tuh diliburin siap utbk ntuh,0.0,Netral
yaallah ken lolos snbp aja biar nganggur beban utbk kepala ku improve rapor semester,0.4404,Positif
lolos utbk ketrima ptn skorr,0.0,Netral
ofc this my dream mayor and dream uni alhamdulillah banget lolos karna utbk last change seleksi ptn thank you mama papa keluarga temen athar adek kelas guru sma gabisa,0.6705,Positif
gak rasa ya besok udah aja tinggal utbk,0.0,Netral
sumpah gua uas bahasa indonesia bahasa inggris ngerasa gampang banget gara gara udah ngerasain utbk kali lit indo top markotop kek bener total alhamdulillah pala gue pusing bjir,0.2023,Positif
enih gw kalo ditanyain tips ajar utbk gmn ya bjir pilih b aja pokok dek,0.0,Netral
thun dpn utbk lg jurus amurta,0.0,Netral
seru dripada countdown utbk,0.0,Netral
h utbk gin woakwokw,0.0,Netral
yeahh i literally made this for my bf s bithrday sambi ajar utbk effortku apresiasi,0.0,Netral
ajar utbk,0.0,Netral
keirmiest mauu ayo temenan akuu,0.0,Netral
produk udah kutambahin video yaa gratis ongkir dapet cashback koin tags wts preloved utbk snbt preloved the king intens soshum wts buku materi sma mipa buku latsol sma kelas buku latsol kimia sks ips,0.0516,Positif
meiarchi wahaha mangat utbk,0.0,Netral
hah utbk h pls siap ak brp persennn,0.0772,Positif
selesai mtp materi utbk gaspollll,0.0,Netral
takut banget ga kelas utbk,0.0,Netral
ajarin materi utbk yun,0.0,Netral
guys start ajar utbk darimana,0.0,Netral
ga sih tuh udahan aja ajar kelas nya ken fokus ajar utbk,0.0,Netral
anasajadeh,0.0,Netral
sbmptnfess pliss patok nilai to karna emang snbt utbk beda alam pribadi gw nilai to nya gajauh ky yg atas tp nilai snbt gw lolos ui jujur paham gaiss lt,0.0,Netral
untung mentor utbk tau st,0.0,Netral
mikoches ambil paket yg prime utbk,0.0,Netral
lulus utbk pilih,0.0,Netral
ayo nyore fokus utbk,0.0,Netral
gw pas gk terima utbk hah omg meanwhile daily tweets gw,0.0,Netral
ak beneran utbk,0.0,Netral
nyesek bgt liat hasil to rendah ya utbk tetep aja pikir qnxjakwowlaossbajak,0.0,Netral
pelatnas gt utbk gt maba gt gila,0.6486,Positif
baebadawbie wangsit aja ka to mipi,0.0,Netral
hi guyss studytwt nyari mutualan ajar ambis utbk bareng mutualan yuk call me fala or ala a sheher l th grade and a soon to be camaba ui ayo mutualan kindly help rt and like yaa ambistwt ambisverse,0.8126,Positif
ttadikamesra semangat ka,0.0,Netral
gw yg ajar utbk nih jd ragu gw,0.0,Netral
kangen begadang utbk ngerjain tugas latsol kimia afa ngecrushin atila era les go ic pus ghost bangtan teater mas fisika profesor salman praktikum bio keliling hutan smanda war bakso imut nasiwa wawa beli es teh kali elep bareng najwa idvi,-0.7351,Negatif
lllllies mipyy bilang kalo mipy tuh dekat gitu utbk tapi kalo mipy lumayan sih samaa bahas erti,0.0,Netral
gapapa nder lolos utbk,0.0,Netral
