full_text,cleaning,case_folding,tokenize,filtering/stopword removal,steaming_data
@QforKyu @myxaurora @kripikpringlesh @ARkesmaaa Demiapapun ini kocak bgt,QforKyu myxaurora kripikpringlesh ARkesmaaa Demiapapun ini kocak bgt,qforkyu myxaurora kripikpringlesh arkesmaaa demiapapun ini kocak bgt,"['qforkyu', 'myxaurora', 'kripikpringlesh', 'arkesmaaa', 'demiapapun', 'ini', 'kocak', 'bgt']","['qforkyu', 'myxaurora', 'kripikpringlesh', 'arkesmaaa', 'demiapapun', 'kocak', 'bgt']",qforkyu myxaurora kripikpringlesh arkesmaaa apa kocak bgt
@IISMAfess Boleh tapi harus ttep di approve pihak iisma ya (ak tau dri alumni sebelumnya),IISMAfess Boleh tapi harus ttep di approve pihak iisma ya ak tau dri alumni sebelumnya,iismafess boleh tapi harus ttep di approve pihak iisma ya ak tau dri alumni sebelumnya,"['iismafess', 'boleh', 'tapi', 'harus', 'ttep', 'di', 'approve', 'pihak', 'iisma', 'ya', 'ak', 'tau', 'dri', 'alumni', 'sebelumnya']","['iismafess', 'ttep', 'approve', 'iisma', 'ya', 'ak', 'tau', 'dri', 'alumni']",iismafess ttep approve iisma ya ak tau dri alumni
gua pun kalau kemarin jadi ikut IISMA gua mahasiswa bisnis tapi ambil matkul Hukum sama AI. dan gua feeling itu ga bisa dikonversi. kalau ngulang it's fine yg penting gua dapat apa yg udh gua design buat gua sendiri. btw sebagai mahasiswa normal kah punya pikiran begini?,gua pun kalau kemarin jadi ikut IISMA gua mahasiswa bisnis tapi ambil matkul Hukum sama AI dan gua feeling itu ga bisa dikonversi kalau ngulang its fine yg penting gua dapat apa yg udh gua design buat gua sendiri btw sebagai mahasiswa normal kah punya pikiran begini,gua pun kalau kemarin jadi ikut iisma gua mahasiswa bisnis tapi ambil matkul hukum sama ai dan gua feeling itu ga bisa dikonversi kalau ngulang its fine yg penting gua dapat apa yg udh gua design buat gua sendiri btw sebagai mahasiswa normal kah punya pikiran begini,"['gua', 'pun', 'kalau', 'kemarin', 'jadi', 'ikut', 'iisma', 'gua', 'mahasiswa', 'bisnis', 'tapi', 'ambil', 'matkul', 'hukum', 'sama', 'ai', 'dan', 'gua', 'feeling', 'itu', 'ga', 'bisa', 'dikonversi', 'kalau', 'ngulang', 'its', 'fine', 'yg', 'penting', 'gua', 'dapat', 'apa', 'yg', 'udh', 'gua', 'design', 'buat', 'gua', 'sendiri', 'btw', 'sebagai', 'mahasiswa', 'normal', 'kah', 'punya', 'pikiran', 'begini']","['gua', 'kemarin', 'iisma', 'gua', 'mahasiswa', 'bisnis', 'ambil', 'matkul', 'hukum', 'ai', 'gua', 'feeling', 'ga', 'dikonversi', 'ngulang', 'its', 'fine', 'yg', 'gua', 'yg', 'udh', 'gua', 'design', 'gua', 'btw', 'mahasiswa', 'normal', 'kah', 'pikiran']",gua kemarin iisma gua mahasiswa bisnis ambil matkul hukum ai gua feeling ga konversi ngulang its fine yg gua yg udh gua design gua btw mahasiswa normal kah pikir
Para mahasiswa yang berhasil menerima beasiswa IISMA 2024 akan tersebar di 121 Perguruan Tinggi Luar Negeri (PTLN) di berbagai negara. Para mahasiswa direncanakan akan memulai pertukaran pelajar pada semester berikutnya sesuai dengan jadwal akademik universitas yang mereka tuju.,Para mahasiswa yang berhasil menerima beasiswa IISMA  akan tersebar di  Perguruan Tinggi Luar Negeri PTLN di berbagai negara Para mahasiswa direncanakan akan memulai pertukaran pelajar pada semester berikutnya sesuai dengan jadwal akademik universitas yang mereka tuju,para mahasiswa yang berhasil menerima beasiswa iisma  akan tersebar di  perguruan tinggi luar negeri ptln di berbagai negara para mahasiswa direncanakan akan memulai pertukaran pelajar pada semester berikutnya sesuai dengan jadwal akademik universitas yang mereka tuju,"['para', 'mahasiswa', 'yang', 'berhasil', 'menerima', 'beasiswa', 'iisma', 'akan', 'tersebar', 'di', 'perguruan', 'tinggi', 'luar', 'negeri', 'ptln', 'di', 'berbagai', 'negara', 'para', 'mahasiswa', 'direncanakan', 'akan', 'memulai', 'pertukaran', 'pelajar', 'pada', 'semester', 'berikutnya', 'sesuai', 'dengan', 'jadwal', 'akademik', 'universitas', 'yang', 'mereka', 'tuju']","['mahasiswa', 'berhasil', 'menerima', 'beasiswa', 'iisma', 'tersebar', 'perguruan', 'negeri', 'ptln', 'negara', 'mahasiswa', 'direncanakan', 'pertukaran', 'pelajar', 'semester', 'sesuai', 'jadwal', 'akademik', 'universitas', 'tuju']",mahasiswa hasil terima beasiswa iisma sebar guru negeri ptln negara mahasiswa rencana tukar ajar semester sesuai jadwal akademik universitas tuju
@granolish unipi otw msuk guinness book of iisma record‼️,granolish unipi otw msuk guinness book of iisma record,granolish unipi otw msuk guinness book of iisma record,"['granolish', 'unipi', 'otw', 'msuk', 'guinness', 'book', 'of', 'iisma', 'record']","['granolish', 'unipi', 'otw', 'msuk', 'guinness', 'book', 'of', 'iisma', 'record']",granolish unipi otw msuk guinness book of iisma record
@triceratob tinggalkan pacarmu dan pergi bersamaku,triceratob tinggalkan pacarmu dan pergi bersamaku,triceratob tinggalkan pacarmu dan pergi bersamaku,"['triceratob', 'tinggalkan', 'pacarmu', 'dan', 'pergi', 'bersamaku']","['triceratob', 'tinggalkan', 'pacarmu', 'pergi', 'bersamaku']",triceratob tinggal pacar pergi sama
kapan libur lebaran pls,kapan libur lebaran pls,kapan libur lebaran pls,"['kapan', 'libur', 'lebaran', 'pls']","['libur', 'lebaran', 'pls']",libur lebaran pls
anjir pusing mana besok lanjut ke kampus,anjir pusing mana besok lanjut ke kampus,anjir pusing mana besok lanjut ke kampus,"['anjir', 'pusing', 'mana', 'besok', 'lanjut', 'ke', 'kampus']","['anjir', 'pusing', 'besok', 'kampus']",anjir pusing besok kampus
@claphoria HAHA YAKAN DUH,claphoria HAHA YAKAN DUH,claphoria haha yakan duh,"['claphoria', 'haha', 'yakan', 'duh']","['claphoria', 'haha', 'yakan', 'duh']",claphoria haha yakan duh
@suirvives Tp semoga ga di prank sama pihak iisma,suirvives Tp semoga ga di prank sama pihak iisma,suirvives tp semoga ga di prank sama pihak iisma,"['suirvives', 'tp', 'semoga', 'ga', 'di', 'prank', 'sama', 'pihak', 'iisma']","['suirvives', 'tp', 'semoga', 'ga', 'prank', 'iisma']",suirvives tp moga ga prank iisma
@Asha_Ganteng iyaa harus ada ttd kui nyaa,AshaGanteng iyaa harus ada ttd kui nyaa,ashaganteng iyaa harus ada ttd kui nyaa,"['ashaganteng', 'iyaa', 'harus', 'ada', 'ttd', 'kui', 'nyaa']","['ashaganteng', 'iyaa', 'ttd', 'kui', 'nyaa']",ashaganteng iyaa ttd kui nyaa
aneh bGT LAGIAAANN coping mechanismnya jelek bgt ngatain awardees gacha meanwhile kita ga pernah tau apa aja kriteria dr iisma dan lpdp ‍️‍️,aneh bGT LAGIAAANN coping mechanismnya jelek bgt ngatain awardees gacha meanwhile kita ga pernah tau apa aja kriteria dr iisma dan lpdp ,aneh bgt lagiaaann coping mechanismnya jelek bgt ngatain awardees gacha meanwhile kita ga pernah tau apa aja kriteria dr iisma dan lpdp ,"['aneh', 'bgt', 'lagiaaann', 'coping', 'mechanismnya', 'jelek', 'bgt', 'ngatain', 'awardees', 'gacha', 'meanwhile', 'kita', 'ga', 'pernah', 'tau', 'apa', 'aja', 'kriteria', 'dr', 'iisma', 'dan', 'lpdp']","['aneh', 'bgt', 'lagiaaann', 'coping', 'mechanismnya', 'jelek', 'bgt', 'ngatain', 'awardees', 'gacha', 'meanwhile', 'ga', 'tau', 'aja', 'kriteria', 'dr', 'iisma', 'lpdp']",aneh bgt lagiaaann coping mechanismnya jelek bgt ngatain awardees gacha meanwhile ga tau aja kriteria dr iisma lpdp
wow iisma gacha gw dua kali berarti,wow iisma gacha gw dua kali berarti,wow iisma gacha gw dua kali berarti,"['wow', 'iisma', 'gacha', 'gw', 'dua', 'kali', 'berarti']","['wow', 'iisma', 'gacha', 'gw', 'kali']",wow iisma gacha gw kali
@amebicano LITERALLYYYY!! aku pas iisma seangkatan sm Gem dan bahkan ada satu group line sjdhsjhsja,amebicano LITERALLYYYY aku pas iisma seangkatan sm Gem dan bahkan ada satu group line sjdhsjhsja,amebicano literallyyyy aku pas iisma seangkatan sm gem dan bahkan ada satu group line sjdhsjhsja,"['amebicano', 'literallyyyy', 'aku', 'pas', 'iisma', 'seangkatan', 'sm', 'gem', 'dan', 'bahkan', 'ada', 'satu', 'group', 'line', 'sjdhsjhsja']","['amebicano', 'literallyyyy', 'pas', 'iisma', 'seangkatan', 'sm', 'gem', 'group', 'line', 'sjdhsjhsja']",amebicano literallyyyy pas iisma angkat sm gem group line sjdhsjhsja
iisma this iisma that iis dahlia,iisma this iisma that iis dahlia,iisma this iisma that iis dahlia,"['iisma', 'this', 'iisma', 'that', 'iis', 'dahlia']","['iisma', 'this', 'iisma', 'that', 'iis', 'dahlia']",iisma this iisma that iis dahlia
IISMA! Mau nanya emang se-flawless apa essay achievement dan nilai ept lho yang pada nge saltyin awardees 24 sampe merasa entitled buat diterima iisma? sampe nge discredit yg keterima? pede lu usaha dan doa nya lebih tekun dri yg keterima?,IISMA Mau nanya emang seflawless apa essay achievement dan nilai ept lho yang pada nge saltyin awardees  sampe merasa entitled buat diterima iisma sampe nge discredit yg keterima pede lu usaha dan doa nya lebih tekun dri yg keterima,iisma mau nanya emang seflawless apa essay achievement dan nilai ept lho yang pada nge saltyin awardees  sampe merasa entitled buat diterima iisma sampe nge discredit yg keterima pede lu usaha dan doa nya lebih tekun dri yg keterima,"['iisma', 'mau', 'nanya', 'emang', 'seflawless', 'apa', 'essay', 'achievement', 'dan', 'nilai', 'ept', 'lho', 'yang', 'pada', 'nge', 'saltyin', 'awardees', 'sampe', 'merasa', 'entitled', 'buat', 'diterima', 'iisma', 'sampe', 'nge', 'discredit', 'yg', 'keterima', 'pede', 'lu', 'usaha', 'dan', 'doa', 'nya', 'lebih', 'tekun', 'dri', 'yg', 'keterima']","['iisma', 'nanya', 'emang', 'seflawless', 'essay', 'achievement', 'nilai', 'ept', 'lho', 'nge', 'saltyin', 'awardees', 'sampe', 'entitled', 'diterima', 'iisma', 'sampe', 'nge', 'discredit', 'yg', 'keterima', 'pede', 'lu', 'usaha', 'doa', 'nya', 'tekun', 'dri', 'yg', 'keterima']",iisma nanya emang seflawless essay achievement nilai ept lho nge saltyin awardees sampe entitled terima iisma sampe nge discredit yg terima pede lu usaha doa nya tekun dri yg terima
buka proofreader essay iisma dia guys ayo yg mau ikut tahun depan proofread sama vernon ,buka proofreader essay iisma dia guys ayo yg mau ikut tahun depan proofread sama vernon ,buka proofreader essay iisma dia guys ayo yg mau ikut tahun depan proofread sama vernon ,"['buka', 'proofreader', 'essay', 'iisma', 'dia', 'guys', 'ayo', 'yg', 'mau', 'ikut', 'tahun', 'depan', 'proofread', 'sama', 'vernon']","['buka', 'proofreader', 'essay', 'iisma', 'guys', 'ayo', 'yg', 'proofread', 'vernon']",buka proofreader essay iisma guys ayo yg proofread vernon
@aylevars MASCARA SOMETHINC HUNGOVER!!!! BAGUS BANGET EMANG ITU‼️‼️,aylevars MASCARA SOMETHINC HUNGOVER BAGUS BANGET EMANG ITU,aylevars mascara somethinc hungover bagus banget emang itu,"['aylevars', 'mascara', 'somethinc', 'hungover', 'bagus', 'banget', 'emang', 'itu']","['aylevars', 'mascara', 'somethinc', 'hungover', 'bagus', 'banget', 'emang']",aylevars mascara somethinc hungover bagus banget emang
pengen viral deh,pengen viral deh,pengen viral deh,"['pengen', 'viral', 'deh']","['pengen', 'viral', 'deh']",ken viral deh
Tapi iya h-1 jadwal interview iisma ku aku mock interview sama katingku. Dan tau apa katanya? Aku gak siap buat interview BOOM i almost cried but yeah abis mock interview aku latihan sendiri lagi,Tapi iya h jadwal interview iisma ku aku mock interview sama katingku Dan tau apa katanya Aku gak siap buat interview BOOM i almost cried but yeah abis mock interview aku latihan sendiri lagi,tapi iya h jadwal interview iisma ku aku mock interview sama katingku dan tau apa katanya aku gak siap buat interview boom i almost cried but yeah abis mock interview aku latihan sendiri lagi,"['tapi', 'iya', 'h', 'jadwal', 'interview', 'iisma', 'ku', 'aku', 'mock', 'interview', 'sama', 'katingku', 'dan', 'tau', 'apa', 'katanya', 'aku', 'gak', 'siap', 'buat', 'interview', 'boom', 'i', 'almost', 'cried', 'but', 'yeah', 'abis', 'mock', 'interview', 'aku', 'latihan', 'sendiri', 'lagi']","['iya', 'h', 'jadwal', 'interview', 'iisma', 'ku', 'mock', 'interview', 'katingku', 'tau', 'gak', 'interview', 'boom', 'i', 'almost', 'cried', 'but', 'yeah', 'abis', 'mock', 'interview', 'latihan']",iya h jadwal interview iisma ku mock interview katingku tau gak interview boom i almost cried but yeah abis mock interview latih
@multitaskign joki minimal 160 sih,multitaskign joki minimal  sih,multitaskign joki minimal  sih,"['multitaskign', 'joki', 'minimal', 'sih']","['multitaskign', 'joki', 'minimal', 'sih']",multitaskign joki minimal sih
@Hyungstress kali ini ultahnya ldr ya,Hyungstress kali ini ultahnya ldr ya,hyungstress kali ini ultahnya ldr ya,"['hyungstress', 'kali', 'ini', 'ultahnya', 'ldr', 'ya']","['hyungstress', 'kali', 'ultahnya', 'ldr', 'ya']",hyungstress kali ultahnya ldr ya
Aku ga menyangkal kok rasio anak vo yang keterima sama yang apply iisma kaya gimana. Tapi coba dipikir sama faktor lain kaya dipakainya TOEIC sebagai EPT dan banyaknya host unis vo yang very industry-centered bukan discussion/theory centered.,Aku ga menyangkal kok rasio anak vo yang keterima sama yang apply iisma kaya gimana Tapi coba dipikir sama faktor lain kaya dipakainya TOEIC sebagai EPT dan banyaknya host unis vo yang very industrycentered bukan discussiontheory centered,aku ga menyangkal kok rasio anak vo yang keterima sama yang apply iisma kaya gimana tapi coba dipikir sama faktor lain kaya dipakainya toeic sebagai ept dan banyaknya host unis vo yang very industrycentered bukan discussiontheory centered,"['aku', 'ga', 'menyangkal', 'kok', 'rasio', 'anak', 'vo', 'yang', 'keterima', 'sama', 'yang', 'apply', 'iisma', 'kaya', 'gimana', 'tapi', 'coba', 'dipikir', 'sama', 'faktor', 'lain', 'kaya', 'dipakainya', 'toeic', 'sebagai', 'ept', 'dan', 'banyaknya', 'host', 'unis', 'vo', 'yang', 'very', 'industrycentered', 'bukan', 'discussiontheory', 'centered']","['ga', 'menyangkal', 'rasio', 'anak', 'vo', 'keterima', 'apply', 'iisma', 'kaya', 'gimana', 'coba', 'dipikir', 'faktor', 'kaya', 'dipakainya', 'toeic', 'ept', 'banyaknya', 'host', 'unis', 'vo', 'very', 'industrycentered', 'discussiontheory', 'centered']",ga sangkal rasio anak vo terima apply iisma kaya gimana coba pikir faktor kaya pakai toeic ept banyak host unis vo very industrycentered discussiontheory centered
antara sedih sama seneng dia mau pergi iisma @psikobagiduo https://t.co/WGRoKuUa81,antara sedih sama seneng dia mau pergi iisma psikobagiduo ,antara sedih sama seneng dia mau pergi iisma psikobagiduo ,"['antara', 'sedih', 'sama', 'seneng', 'dia', 'mau', 'pergi', 'iisma', 'psikobagiduo']","['sedih', 'seneng', 'pergi', 'iisma', 'psikobagiduo']",sedih neng pergi iisma psikobagiduo
jgn marah klo punya pacar yg kayak anjg soalnya anjg itu setia seharusnya bangga,jgn marah klo punya pacar yg kayak anjg soalnya anjg itu setia seharusnya bangga,jgn marah klo punya pacar yg kayak anjg soalnya anjg itu setia seharusnya bangga,"['jgn', 'marah', 'klo', 'punya', 'pacar', 'yg', 'kayak', 'anjg', 'soalnya', 'anjg', 'itu', 'setia', 'seharusnya', 'bangga']","['jgn', 'marah', 'klo', 'pacar', 'yg', 'kayak', 'anjg', 'anjg', 'setia', 'bangga']",jgn marah klo pacar yg kayak anjg anjg setia bangga
para awardeez iisma! dan iismavo! setelah kalian lulus siapa yg kalian ingin ucapkan terima kasih tapi sampai skrng blm kesampaian?? yuk skrng ucapin dicomments!!,para awardeez iisma dan iismavo setelah kalian lulus siapa yg kalian ingin ucapkan terima kasih tapi sampai skrng blm kesampaian yuk skrng ucapin dicomments,para awardeez iisma dan iismavo setelah kalian lulus siapa yg kalian ingin ucapkan terima kasih tapi sampai skrng blm kesampaian yuk skrng ucapin dicomments,"['para', 'awardeez', 'iisma', 'dan', 'iismavo', 'setelah', 'kalian', 'lulus', 'siapa', 'yg', 'kalian', 'ingin', 'ucapkan', 'terima', 'kasih', 'tapi', 'sampai', 'skrng', 'blm', 'kesampaian', 'yuk', 'skrng', 'ucapin', 'dicomments']","['awardeez', 'iisma', 'iismavo', 'lulus', 'yg', 'ucapkan', 'terima', 'kasih', 'skrng', 'blm', 'yuk', 'skrng', 'ucapin', 'dicomments']",awardeez iisma iismavo lulus yg ucap terima kasih skrng blm yuk skrng ucapin dicomments
@kegabutanagata yhh makasih juga orang yg bikin aku kompetitif di akademik dari semester 1 wont be trying so hard if not for you fr work-life balance: be a yapper,kegabutanagata yhh makasih juga orang yg bikin aku kompetitif di akademik dari semester  wont be trying so hard if not for you fr worklife balance be a yapper,kegabutanagata yhh makasih juga orang yg bikin aku kompetitif di akademik dari semester  wont be trying so hard if not for you fr worklife balance be a yapper,"['kegabutanagata', 'yhh', 'makasih', 'juga', 'orang', 'yg', 'bikin', 'aku', 'kompetitif', 'di', 'akademik', 'dari', 'semester', 'wont', 'be', 'trying', 'so', 'hard', 'if', 'not', 'for', 'you', 'fr', 'worklife', 'balance', 'be', 'a', 'yapper']","['kegabutanagata', 'yhh', 'makasih', 'orang', 'yg', 'bikin', 'kompetitif', 'akademik', 'semester', 'wont', 'be', 'trying', 'so', 'hard', 'if', 'not', 'for', 'you', 'fr', 'worklife', 'balance', 'be', 'a', 'yapper']",kegabutanagata yhh makasih orang yg bikin kompetitif akademik semester wont be trying so hard if not for you fr worklife balance be a yapper
@kegabutanagata km udh ga sayang kita ya dig udh jarang main sm kita makanya gaada foto,kegabutanagata km udh ga sayang kita ya dig udh jarang main sm kita makanya gaada foto,kegabutanagata km udh ga sayang kita ya dig udh jarang main sm kita makanya gaada foto,"['kegabutanagata', 'km', 'udh', 'ga', 'sayang', 'kita', 'ya', 'dig', 'udh', 'jarang', 'main', 'sm', 'kita', 'makanya', 'gaada', 'foto']","['kegabutanagata', 'km', 'udh', 'ga', 'sayang', 'ya', 'dig', 'udh', 'jarang', 'main', 'sm', 'gaada', 'foto']",kegabutanagata km udh ga sayang ya dig udh jarang main sm gaada foto
@IISMAfess aku semua uni,IISMAfess aku semua uni,iismafess aku semua uni,"['iismafess', 'aku', 'semua', 'uni']","['iismafess', 'uni']",iismafess uni
@IISMAfess masukin 1 dan 2 keterima di pil 3,IISMAfess masukin  dan  keterima di pil ,iismafess masukin  dan  keterima di pil ,"['iismafess', 'masukin', 'dan', 'keterima', 'di', 'pil']","['iismafess', 'masukin', 'keterima', 'pil']",iismafess masukin terima pil
orang iisma yg sombonk @.ain https://t.co/OzRrQanBpN,orang iisma yg sombonk ain ,orang iisma yg sombonk ain ,"['orang', 'iisma', 'yg', 'sombonk', 'ain']","['orang', 'iisma', 'yg', 'sombonk', 'ain']",orang iisma yg sombonk ain
@IISMAfess Semua,IISMAfess Semua,iismafess semua,"['iismafess', 'semua']",['iismafess'],iismafess
BOLEH NGULANG IISMA LAGI GAK minimal 728x gitu tapi gak pake ngampus mau spend time sama mereka aja https://t.co/l9U5P3zlpf,BOLEH NGULANG IISMA LAGI GAK minimal x gitu tapi gak pake ngampus mau spend time sama mereka aja ,boleh ngulang iisma lagi gak minimal x gitu tapi gak pake ngampus mau spend time sama mereka aja ,"['boleh', 'ngulang', 'iisma', 'lagi', 'gak', 'minimal', 'x', 'gitu', 'tapi', 'gak', 'pake', 'ngampus', 'mau', 'spend', 'time', 'sama', 'mereka', 'aja']","['ngulang', 'iisma', 'gak', 'minimal', 'x', 'gitu', 'gak', 'pake', 'ngampus', 'spend', 'time', 'aja']",ngulang iisma gak minimal x gitu gak pake ngampus spend time aja
@IISMAfess 1 nder tp keterimanya jg gak disitu,IISMAfess  nder tp keterimanya jg gak disitu,iismafess  nder tp keterimanya jg gak disitu,"['iismafess', 'nder', 'tp', 'keterimanya', 'jg', 'gak', 'disitu']","['iismafess', 'nder', 'tp', 'keterimanya', 'jg', 'gak', 'disitu']",iismafess nder tp terima jg gak situ
